INSERT INTO feedback(feedback_id, appointment_id, feedback_date, feedback_text, rating) VALUES
(1, 55, '1970-12-15 18:14:46.498', 'The doctor answered all my questions satisfactorily', 1),
(2, 96, '2014-12-01 08:17:22.47', 'The staff demonstrated professionalism and empathy', 1),
(3, 65, '1976-09-29 23:35:02.061', 'I felt respected and valued as a patient', 3),
(4, 60, '1987-09-12 11:54:45.202', 'The hospital adhered to safety protocols and guidelines', 5),
(5, 60, '2021-08-13 20:38:05.007', 'I felt reassured and well taken care of during my visit', 5),
(6, 69, '1998-01-18 10:33:45.846', 'I felt reassured and well taken care of during my visit', 4),
(7, 74, '1994-03-30 14:48:51.478', 'The staff demonstrated professionalism and empathy', 3),
(8, 84, '1986-10-26 16:20:02.528', 'The facilities were clean and well-maintained', 4),
(9, 62, '2024-01-04 16:51:58.74', 'The doctor was knowledgeable and provided comprehensive care', 4),
(10, 97, '1994-04-24 07:13:14.078', 'The waiting time was shorter than expected', 2),
(11, 100, '1976-05-09 17:27:25.009', 'The appointment process was smooth and efficient', 3),
(12, 71, '2002-11-04 05:47:55.054', 'I felt respected and valued as a patient', 4),
(13, 60, '2009-12-11 02:29:58.711', 'I felt respected and valued as a patient', 2),
(14, 61, '1996-03-18 01:22:11.001', 'The doctor was knowledgeable and provided comprehensive care', 4),
(15, 56, '1973-06-18 03:54:57.716', 'The doctor listened to my concerns and addressed them effectively', 5),
(16, 66, '1990-02-15 20:49:26.733', 'The appointment duration was adequate for my needs', 3),
(17, 68, '1995-03-05 05:21:46.96', 'I felt respected and valued as a patient', 4),
(18, 62, '1997-03-16 21:50:47.148', 'The appointment process was smooth and efficient', 5),
(19, 55, '1999-06-18 06:16:24.971', 'The facilities were clean and well-maintained', 1),
(20, 74, '1972-10-15 15:09:44.002', 'The hospital provided adequate follow-up care and support', 2),
(21, 63, '1984-11-23 07:09:58.973', 'The doctor listened to my concerns and addressed them effectively', 4),
(22, 82, '1983-08-02 20:35:18.973', 'The appointment duration was adequate for my needs', 3),
(23, 70, '1985-10-12 16:42:14.006', 'I felt reassured and well taken care of during my visit', 4),
(24, 55, '1995-12-05 18:11:36.445', 'The doctor listened to my concerns and addressed them effectively', 4),
(25, 52, '1980-02-29 21:16:41.011', 'The appointment started on time', 5),
(26, 84, '1979-10-13 11:14:58.702', 'The doctor listened to my concerns and addressed them effectively', 2),
(27, 100, '2022-08-05 01:43:02.792', 'The hospital environment was welcoming and comfortable', 3),
(28, 64, '1978-07-13 12:24:12.352', 'The staff demonstrated professionalism and empathy', 5),
(29, 88, '2023-07-07 07:40:07.603', 'The waiting time was shorter than expected', 3),
(30, 100, '1970-07-18 06:56:36.521', 'The hospital environment was welcoming and comfortable', 5),
(31, 65, '1995-08-08 15:12:08.491', 'The doctor answered all my questions satisfactorily', 5),
(32, 66, '1989-04-03 19:02:27.459', 'The appointment process was smooth and efficient', 2),
(33, 100, '2016-07-02 18:06:40.002', 'I felt respected and valued as a patient', 2),
(34, 91, '1996-07-29 13:40:20.157', 'The doctor answered all my questions satisfactorily', 1),
(35, 76, '1991-01-10 00:45:18.613', 'I appreciated the thoroughness of the examination', 5),
(36, 91, '1993-12-13 23:27:34.523', 'The appointment started on time', 5),
(37, 66, '1983-12-09 05:47:10.071', 'I felt reassured and well taken care of during my visit', 3),
(38, 64, '1981-03-21 11:42:54.552', 'The staff demonstrated professionalism and empathy', 5),
(39, 78, '1990-09-13 21:03:19.764', 'The appointment scheduling was convenient', 1),
(40, 83, '1987-06-30 16:03:05.203', 'I felt reassured and well taken care of during my visit', 5),
(41, 79, '1996-11-18 00:10:24.702', 'I felt reassured and well taken care of during my visit', 4),
(42, 89, '2024-01-12 19:58:29.013', 'The doctor was very attentive and explained everything clearly', 5),
(43, 84, '2001-01-30 18:26:52.713', 'The doctor listened to my concerns and addressed them effectively', 3),
(44, 61, '2014-04-01 20:11:52.082', 'The appointment duration was adequate for my needs', 2),
(45, 68, '1983-09-15 05:51:34.534', 'The appointment duration was adequate for my needs', 2),
